,city_name,hotel_city_extract,city_name_test,hotel_name,hotel_score,hotel_url,longitude_x,latitude_x,hotel_description,city_id,city_id_df,city,latitude_y,longitude_y,temp_mean,humidity_mean,kayac_city_name_list,dfw_city_mapped
819,La Rochelle,"Centre-ville de La Rochelle, La Rochelle",pb,Escale Rochelaise B&B,9.8,"https://www.booking.com//hotel/fr/escale-rochelaise.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCyMXWigbAAgHSAiQzZTI2MjJlMi03ZGVmLTQ4MWEtYTIyMy00YTc4ZjFjY2IyNDnYAgTgAgE&sid=602b948abef17c160c5b4695fe09a55c&dest_id=-1438604&dest_type=city&group_adults=2&group_children=0&hapos=11&hpos=11&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=f7135264b2c50181&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.151562,46.16496,L’Escale Rochelaise B&B possède un jardin ainsi qu’une cuisine et un salon communs. Une connexion Wi-Fi est disponible gratuitement.,258418538,city_33,La Rochelle,46.1591126,-1.1520434,19.67625,56.25,La Rochelle,La Rochelle
799,Bayonne,Bayonne,ok,Péniche DJEBELLE,9.6,"https://www.booking.com//hotel/fr/peniche-djebelle.fr.html?label=gen173nr-1DCAQoggJCDnNlYXJjaF9iYXlvbm5lSA1YBGgViAEBmAENuAEYyAEM2AED6AEB-AEDiAIBqAIEuALIxdaKBsACAdICJDE3ZWY3ODBhLWUxNWQtNGU2MC1hOGFlLTZjOGZhODc0Y2JjONgCBOACAQ&sid=42cbfe3b329aee470084f644c2b30e35&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=16&hpos=16&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=82fd5264dd8f0063&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.473749,43.496335,"Située à Bayonne, à moins de 2,3 km de la cathédrale Sainte-Marie et à 3,1 km du parc Ansot, la Péniche DJEBELLE propose un salon commun, une terrasse et une connexion Wi-Fi gratuite.",258745823,city_32,Bayonne,43.49333789999999,-1.475099,21.07875,61.875,Bayonne,Bayonne
812,La Rochelle,"Centre-ville de La Rochelle, La Rochelle",pb,La Belle Amarre,9.6,"https://www.booking.com//hotel/fr/la-belle-amarre.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCyMXWigbAAgHSAiQzZTI2MjJlMi03ZGVmLTQ4MWEtYTIyMy00YTc4ZjFjY2IyNDnYAgTgAgE&sid=602b948abef17c160c5b4695fe09a55c&dest_id=-1438604&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=f7135264b2c50181&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.155056,46.158662,"Situé à La Rochelle, à moins de 2,2 km des Minimes, l'établissement La Belle Amarre propose un bar, des chambres pour les personnes souffrant d'allergies, une connexion Wi-Fi gratuite dans l'ensemble...",258418538,city_33,La Rochelle,46.1591126,-1.1520434,19.67625,56.25,La Rochelle,La Rochelle
824,La Rochelle,"Centre-ville de La Rochelle, La Rochelle",pb,21 Dupaty Le Studio,9.6,"https://www.booking.com//hotel/fr/centre-historique-grand-studio-52m2-charme-luxe-calme.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCyMXWigbAAgHSAiQzZTI2MjJlMi03ZGVmLTQ4MWEtYTIyMy00YTc4ZjFjY2IyNDnYAgTgAgE&sid=602b948abef17c160c5b4695fe09a55c&dest_id=-1438604&dest_type=city&group_adults=2&group_children=0&hapos=16&hpos=16&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=f7135264b2c50181&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.1529362,46.160046,"Situé dans un quartier central de La Rochelle, le 21 Dupaty Le Studio propose un hébergement avec vue sur la ville, à seulement 2,6 km de l'Espace Encan et à 2,9 km du parc des expositions de La...",258418538,city_33,La Rochelle,46.1591126,-1.1520434,19.67625,56.25,La Rochelle,La Rochelle
822,La Rochelle,"Centre-ville de La Rochelle, La Rochelle",pb,Le Cours Ladauge,9.5,"https://www.booking.com//hotel/fr/le-cours-ladauge.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCyMXWigbAAgHSAiQzZTI2MjJlMi03ZGVmLTQ4MWEtYTIyMy00YTc4ZjFjY2IyNDnYAgTgAgE&sid=602b948abef17c160c5b4695fe09a55c&dest_id=-1438604&dest_type=city&group_adults=2&group_children=0&hapos=14&hpos=14&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=f7135264b2c50181&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.1483601,46.157467,"Situé à La Rochelle, à 700 mètres du parc des expositions, l'établissement Le Cours Ladauge dispose d'un salon avec une télévision à écran plat. L'Espace Encan se trouve à 700 mètres.",258418538,city_33,La Rochelle,46.1591126,-1.1520434,19.67625,56.25,La Rochelle,La Rochelle
791,Bayonne,Bayonne,ok,Parc 709 Bayonne,9.4,"https://www.booking.com//hotel/fr/parc-709-bayonne.fr.html?label=gen173nr-1DCAQoggJCDnNlYXJjaF9iYXlvbm5lSA1YBGgViAEBmAENuAEYyAEM2AED6AEB-AEDiAIBqAIEuALIxdaKBsACAdICJDE3ZWY3ODBhLWUxNWQtNGU2MC1hOGFlLTZjOGZhODc0Y2JjONgCBOACAQ&sid=42cbfe3b329aee470084f644c2b30e35&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=82fd5264dd8f0063&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.481317,43.495606,"Situé à Bayonne, à moins de 1 km de la cathédrale Sainte-Marie, le Parc 709 Bayonne propose un hébergement avec vue sur la ville, connexion Wi-Fi et parking privé gratuits.",258745823,city_32,Bayonne,43.49333789999999,-1.475099,21.07875,61.875,Bayonne,Bayonne
800,Bayonne,Bayonne,ok,5 Rue des Faures,9.4,"https://www.booking.com//hotel/fr/5-rue-des-faures.fr.html?label=gen173nr-1DCAQoggJCDnNlYXJjaF9iYXlvbm5lSA1YBGgViAEBmAENuAEYyAEM2AED6AEB-AEDiAIBqAIEuALIxdaKBsACAdICJDE3ZWY3ODBhLWUxNWQtNGU2MC1hOGFlLTZjOGZhODc0Y2JjONgCBOACAQ&sid=42cbfe3b329aee470084f644c2b30e35&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=17&hpos=17&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=82fd5264dd8f0063&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.4790953,43.4893908,"Le 5 Rue des Faures propose un hébergement avec connexion Wi-Fi gratuite à Bayonne, à 200 mètres de la cathédrale Sainte-Marie, à 2,1 km du parc Ansot et à 1,1 km de l'hôtel de ville.",258745823,city_32,Bayonne,43.49333789999999,-1.475099,21.07875,61.875,Bayonne,Bayonne
778,Biarritz,"Centre de Biarritz, Biarritz",pb,Appartement Centre de Biarritz,9.4,"https://www.booking.com//hotel/fr/appartement-biarritz-plein-centre.fr.html?label=gen173nr-1DCAQoggJCD3NlYXJjaF9iaWFycml0ekgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCx8XWigbAAgHSAiQ2NjJhMDVmMy0zZTc1LTRkMTQtOTUzNC03ZDczODQzOWMwOWHYAgTgAgE&sid=cba4ec12aabc1f0048063df816138d13&dest_id=-1412526&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=20&hpos=20&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=5ac152635dca003f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.55849993389211,43.4803863594993,"Situé à 3,9 km de la gare de Biarritz La Négresse et à 1,6 km du Rocher de la Vierge, l'Appartement Centre de Biarritz est doté d'un balcon aménagé et d'une connexion Wi-Fi gratuite.",259303061,city_31,Biarritz,43.47114375,-1.5527265909999999,20.405,66.5,Biarritz,Biarritz
817,La Rochelle,"Centre-ville de La Rochelle, La Rochelle",pb,"Le Villemarais, site d'exception",9.4,"https://www.booking.com//hotel/fr/le-villemarais.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCyMXWigbAAgHSAiQzZTI2MjJlMi03ZGVmLTQ4MWEtYTIyMy00YTc4ZjFjY2IyNDnYAgTgAgE&sid=602b948abef17c160c5b4695fe09a55c&dest_id=-1438604&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=f7135264b2c50181&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.155067257672,46.16001032455,"Doté d'un jardin, Le Villemarais, site d'exception propose un hébergement à La Rochelle avec une connexion Wi-Fi gratuite et une vue sur le jardin.",258418538,city_33,La Rochelle,46.1591126,-1.1520434,19.67625,56.25,La Rochelle,La Rochelle
784,Bayonne,Bayonne,ok,Large and confortable apartment on Bayonne city-center - Welkeys,9.3,"https://www.booking.com//hotel/fr/large-and-confortable-apartment-on-bayonne-city-center.fr.html?label=gen173nr-1DCAQoggJCDnNlYXJjaF9iYXlvbm5lSA1YBGgViAEBmAENuAEYyAEM2AED6AEB-AEDiAIBqAIEuALIxdaKBsACAdICJDE3ZWY3ODBhLWUxNWQtNGU2MC1hOGFlLTZjOGZhODc0Y2JjONgCBOACAQ&sid=42cbfe3b329aee470084f644c2b30e35&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=82fd5264dd8f0063&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.46441379999999,43.4940723,"Le Large and confortable apartment on Bayonne city-center propose un hébergement avec connexion Wi-Fi gratuite à Bayonne, à 2,6 km de la cathédrale Sainte-Marie, à 3,7 km du parc Ansot et à 300 mètres...",258745823,city_32,Bayonne,43.49333789999999,-1.475099,21.07875,61.875,Bayonne,Bayonne
776,Biarritz,Biarritz,ok,RIVAGE : magnifique T2 avec terrasse proche centre & plage.,9.3,"https://www.booking.com//hotel/fr/rivage-magnifique-t2-avec-terrasse-proche-centre-amp-plage.fr.html?label=gen173nr-1DCAQoggJCD3NlYXJjaF9iaWFycml0ekgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCx8XWigbAAgHSAiQ2NjJhMDVmMy0zZTc1LTRkMTQtOTUzNC03ZDczODQzOWMwOWHYAgTgAgE&sid=cba4ec12aabc1f0048063df816138d13&dest_id=-1412526&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=18&hpos=18&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=5ac152635dca003f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.5602681,43.475371,Le RIVAGE met gratuitement à votre disposition une connexion Wi-Fi et un parking privé. magnifique T2 avec terrasse proche centre & plage.,259303061,city_31,Biarritz,43.47114375,-1.5527265909999999,20.405,66.5,Biarritz,Biarritz
814,La Rochelle,"Centre-ville de La Rochelle, La Rochelle",pb,La Vie Rochelaise,9.3,"https://www.booking.com//hotel/fr/l-39-appart-place-foch.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCyMXWigbAAgHSAiQzZTI2MjJlMi03ZGVmLTQ4MWEtYTIyMy00YTc4ZjFjY2IyNDnYAgTgAgE&sid=602b948abef17c160c5b4695fe09a55c&dest_id=-1438604&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=f7135264b2c50181&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.1559924390167,46.1570422422047,"Situé à La Rochelle, à seulement 2 km des Minimes, l'établissement La Vie Rochelaise propose un hébergement en bord de mer avec connexion Wi-Fi gratuite.",258418538,city_33,La Rochelle,46.1591126,-1.1520434,19.67625,56.25,La Rochelle,La Rochelle
766,Biarritz,"Centre de Biarritz, Biarritz",pb,Bellevue 766 Biarritz,9.2,"https://www.booking.com//hotel/fr/apt-766-biarritz.fr.html?label=gen173nr-1DCAQoggJCD3NlYXJjaF9iaWFycml0ekgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCx8XWigbAAgHSAiQ2NjJhMDVmMy0zZTc1LTRkMTQtOTUzNC03ZDczODQzOWMwOWHYAgTgAgE&sid=cba4ec12aabc1f0048063df816138d13&dest_id=-1412526&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=8&hpos=8&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=5ac152635dca003f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.560908947885,43.48262852233,"Situé à Biarritz, à seulement 500 mètres de la plage du Port Vieux, le Bellevue 766 Biarritz propose un hébergement en bord de mer avec un casino et une connexion Wi-Fi gratuite.",259303061,city_31,Biarritz,43.47114375,-1.5527265909999999,20.405,66.5,Biarritz,Biarritz
823,La Rochelle,"Centre-ville de La Rochelle, La Rochelle",pb,21 Dupaty 2 chambres,9.2,"https://www.booking.com//hotel/fr/centre-historique-2-chambres-charme-luxe-calme-nouveau.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCyMXWigbAAgHSAiQzZTI2MjJlMi03ZGVmLTQ4MWEtYTIyMy00YTc4ZjFjY2IyNDnYAgTgAgE&sid=602b948abef17c160c5b4695fe09a55c&dest_id=-1438604&dest_type=city&group_adults=2&group_children=0&hapos=15&hpos=15&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=f7135264b2c50181&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.1529362,46.160046,"Offrant une vue sur la ville, le 21 Dupaty 2 chambres propose un hébergement avec une terrasse et une bouilloire, à environ 2,4 km des Minimes.",258418538,city_33,La Rochelle,46.1591126,-1.1520434,19.67625,56.25,La Rochelle,La Rochelle
821,La Rochelle,"Centre-ville de La Rochelle, La Rochelle",pb,Entre Hotes,9.1,"https://www.booking.com//hotel/fr/entre-hotes.fr.html?label=gen173nr-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCyMXWigbAAgHSAiQzZTI2MjJlMi03ZGVmLTQ4MWEtYTIyMy00YTc4ZjFjY2IyNDnYAgTgAgE&sid=602b948abef17c160c5b4695fe09a55c&dest_id=-1438604&dest_type=city&group_adults=2&group_children=0&hapos=13&hpos=13&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=f7135264b2c50181&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.15624,46.159714,"Bénéficiant d'une vue sur le jardin, d'un jardin et d'une connexion Wi-Fi gratuite, l'Entre Hotes propose des hébergements idéalement situés à La Rochelle, à proximité de la Grosse Horloge, du parc...",258418538,city_33,La Rochelle,46.1591126,-1.1520434,19.67625,56.25,La Rochelle,La Rochelle
772,Biarritz,Biarritz,ok,KAIROS KEYWEEK Apartment with sea view ideally located in Biarritz,9.0,"https://www.booking.com//hotel/fr/youcca-47-47-kairos-apartment-with-sea-views-ideally-located-in-biarritz.fr.html?label=gen173nr-1DCAQoggJCD3NlYXJjaF9iaWFycml0ekgNWARoFYgBAZgBDbgBGMgBDNgBA-gBAfgBA4gCAagCBLgCx8XWigbAAgHSAiQ2NjJhMDVmMy0zZTc1LTRkMTQtOTUzNC03ZDczODQzOWMwOWHYAgTgAgE&sid=cba4ec12aabc1f0048063df816138d13&dest_id=-1412526&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=14&hpos=14&nflt=distance%3D1000%3B&no_rooms=1&sr_order=class&srepoch=1633002184&srpvid=5ac152635dca003f&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",-1.5557097,43.4850723,"Le KAIROS KEYWEEK Apartment with sea view idéalement situé à Biarritz, à moins de 1 km de la plage du Port Vieux, à 15 minutes à pied du rocher de la Vierge et à 300 mètres du Bellevue.",259303061,city_31,Biarritz,43.47114375,-1.5527265909999999,20.405,66.5,Biarritz,Biarritz
